Country,Year,Quality_of_Life_Index,Purchasing_Power_Index,Safety_Index,Health_Care_Index,Cost_of_Living_Index,Pollution_Index
Norway,2024,182.3,88.4,75.1,75.6,75.0,21.2
Switzerland,2024,179.5,122.3,70.8,71.2,122.4,19.4
Australia,2024,176.8,108.6,60.5,73.4,73.9,23.5
Germany,2024,170.4,112.9,64.3,74.1,65.3,28.7
Canada,2024,172.1,105.4,63.2,72.9,67.1,26.4
Japan,2024,168.9,96.2,77.5,80.1,82.1,38.9
United States,2024,165.2,118.1,55.4,69.3,74.5,36.2
United Kingdom,2024,167.4,103.7,56.8,70.4,70.8,33.1
Pakistan,2024,98.6,32.4,44.2,45.8,24.5,74.3
India,2024,104.3,38.1,54.9,52.6,28.2,72.6
